M|MECHX|201404|AAPL|14|21|51|5100|4200|900|0|887|13|0|0|0|-.7789|||||||||                                                                                                 
M|MECHX|201404|AAPL|15|21|13|1300|1100|200|0|200|0|0|0|0|2.13|||||||||                                                                                                    
M|MECHX|201404|AAPL|15|22|1|1050|0|1050|0|1050|0|0|0|0|-.2|||||||||                                                                                                       
M|MECHX|201404|AAPL|15|24|4|22240|0|22240|0|22240|0|0|0|0|-.6411|||||||||                                                                                                 
M|MECHX|201404|AAT|12|21|14|1621|1621|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0                                                                                                   
M|MECHX|201404|AAT|13|21|56|7252|7252|0|0|0|0|0|0|0|0|||||||||                                                                                                            
M|MECHX|201404|AAT|14|21|14|1500|1500|0|0|0|0|0|0|0|0|||||||||                                                                                                            
M|MECHX|201404|AAT|15|21|5|500|500|0|0|0|0|0|0|0|0|||||||||                                                                                                               
M|MECHX|201404|AAU|12|21|1|156|156|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0                                                                                                      
M|MECHX|201404|AAV|12|21|230|31881|31881|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0                                                                                                
M|MECHX|201404|AAV|13|21|19|2500|2500|0|0|0|0|0|0|0|0|||||||||                                                                                                            
M|MECHX|201404|AAV|13|22|1|694|694|0|0|0|0|0|0|0|0|||||||||                                                                                                               
M|MECHX|201404|AAV|14|21|112|14323|14323|0|0|0|0|0|0|0|0|||||||||                                                                                                         
M|MECHX|201404|AAV|15|21|2|298|298|0|0|0|0|0|0|0|0|||||||||                                                                                                               
M|MECHX|201404|AAWW|12|21|410|61975|61575|400|0|400|0|0|0|0|-.005|.03|0|0|0|300|0|100|.04|0                                                                               
M|MECHX|201404|AAWW|13|21|520|73873|73773|100|0|100|0|0|0|0|.11|||||||||                                                                                                  
M|MECHX|201404|AAWW|14|21|177|25534|25234|300|0|300|0|0|0|0|.05|||||||||                                                                                                  
M|MECHX|201404|AAWW|15|21|263|45822|45622|200|0|200|0|0|0|0|-.12|||||||||                                                                                                 
M|MECHX|201404|AAXJ|12|21|111|15413|15413|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0                                                                                               
M|MECHX|201404|AAXJ|12|22|6|3830|3830|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0                                                                                                   
M|MECHX|201404|AAXJ|13|21|46|6467|6467|0|0|0|0|0|0|0|0|||||||||                                                                                                           
M|MECHX|201404|AAXJ|13|22|2|1152|1152|0|0|0|0|0|0|0|0|||||||||                                                                                                            
M|MECHX|201404|AAXJ|14|21|85|13285|13285|0|0|0|0|0|0|0|0|||||||||                                                                                                         
M|MECHX|201404|AAXJ|15|21|9|1557|1557|0|0|0|0|0|0|0|0|||||||||                                                                                                            
M|MECHX|201404|AB|12|21|234|31721|31721|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0                                                                                                 
M|MECHX|201404|AB|12|22|1|1000|1000|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0                                                                                                     
M|MECHX|201404|AB|13|21|146|19259|19259|0|0|0|0|0|0|0|0|||||||||                                                                                                          
M|MECHX|201404|AB|14|21|69|9661|9661|0|0|0|0|0|0|0|0|||||||||                                                                                                             
M|MECHX|201404|AB|15|21|143|22998|22998|0|0|0|0|0|0|0|0|||||||||                                                                                                          
M|MECHX|201404|ABAX|12|21|110|13796|13796|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0                                                                                               
M|MECHX|201404|ABAX|13|21|72|9859|9859|0|0|0|0|0|0|0|0|||||||||                                                                                                           
M|MECHX|201404|ABAX|14|21|10|1100|1100|0|0|0|0|0|0|0|0|||||||||                                                                                                           
M|MECHX|201404|ABAX|15|21|6|800|800|0|0|0|0|0|0|0|0|||||||||                                                                                                              
M|MECHX|201404|ABB|12|21|161|29230|27980|1250|0|1250|0|0|0|0|.0116|.0116|0|0|0|1150|0|100|.01|0                                                                           
M|MECHX|201404|ABB|12|22|12|12300|7300|5000|0|5000|0|0|0|0|.01|.008|0|0|0|5000|0|0|0|0                                                                                    
M|MECHX|201404|ABB|13|21|4|500|500|0|0|0|0|0|0|0|0|||||||||                                                                                                               
M|MECHX|201404|ABB|14|21|167|28564|28164|400|0|400|0|0|0|0|-.07|||||||||                                                                                                  
M|MECHX|201404|ABB|14|22|1606|1606000|1600900|5100|0|2000|3000|100|0|0|.0233|||||||||                                                                                     
M|MECHX|201404|ABB|15|21|95|18434|18434|0|0|0|0|0|0|0|0|||||||||                                                                                                          
M|MECHX|201404|ABB|15|22|5862|5846200|5843919|2281|0|0|1181|0|0|1100|.074|||||||||                                                                                        
M|MECHX|201404|ABBV|12|21|2574|557405|556092|1313|0|1313|0|0|0|0|.0287|.0092|0|0|0|1313|0|0|0|0                                                                           
M|MECHX|201404|ABBV|12|22|1299|989840|988553|1287|0|1287|0|0|0|0|.0298|.01|0|0|0|1287|0|0|0|0                                                                             
